customer_message,support_response,intent
"@VerizonSupport Dear Sir/Madam ,i would like to contact the HR Department of Verizon Wireless for reference check on a former colleague pls😀",Let’s get you over to our partner’s and they will assist you with your wireless concerns.,equipment_router
Not as far as I'm aware and the DVR box is a few years old,Is this happening on all shows you set up?,tv_fios_content
@VerizonSupport Only started doing this on Tuesday,"Gotcha, is it no matter what you attempt to record or just specific shows?",tv_fios_content
@VerizonSupport It is whenever I select DVR on the pull down menu,Could you delete and reinstall the app if you are at home and let us know if this issue clears please.,tv_fios_content
@VerizonSupport Help! My dvr takes several minutes to respond if I fast forward or rewind. See video. https://t.co/klfwkNjTSe,Does it do the same when using other remotes or the remote with the Fios mobile app?,tv_fios_content
@VerizonSupport I’ve noticed it on other units in my house. I didn’t try to app.,Do you have another remote that you can try?,installation_availability
When you forgot to set your DVR but it remembers to record #HTGAWM. Good looks https://t.co/csL5swRX1y,We try. If you ever do need support we will be here for you 24x7.,tv_fios_content
So glad I switched off of your terrible service to FiOS. Best decision I've ever made. DO NOT BUY COMCAST.,We are happy to have you with us.,plan_product_upgrade
@VerizonSupport Done but still the same issue,Let's get that box to re-register with our network. Can you reboot the router and the DVR for us by unplugging the power?,complaint_escalation
@VerizonSupport Will have to do that later. Just left home for a meeting,No problem. Keep us posted.,equipment_router
@VerizonSupport Wish you'd come to our condo,We're always expanding our Fios footprint. You can check for avail and status here. https://t.co/19cJ6VLKJ4,complaint_escalation
"@VerizonSupport Same problem with different remote on this STB. On all other STBs, there is a 20s seat when accessing the main dvr.",Have you already had a chance to reboot that DVR box?,tv_fios_content
@VerizonSupport Yep. Full power cycle.,"Try this on the TV, Go to Menu&gt; Customer Support&gt; Top Support Tools&gt; Fix Fios TV Issues. Then try again. Let us know if that helps.",internet_wifi_issue
@VerizonSupport It’s been stuck here for 5m. Is something supposed to happen? https://t.co/Cupy0mI2Wd,Does it respond to any button on your remote?,internet_wifi_issue
Found out is charging $20 less a month for internet than I’m currently paying to them and they refuse to change my plan.,We'd like to assist. Please follow and DM us at your convenience.,equipment_router
@VerizonSupport This seems silly when I already contacted support. You’d rather lose a customer than lower my price because “it’s only for new customers.”,"Hi Brandon, in order to get the new customer discount you would need to be a new customer. We have discounts for customers that renew.",equipment_router
"only support # on Verizon goes to VZ Wireless, can't select FiOS... 2- support hrs 7AM, it's 8AM &amp; auto-attendant hangs up?",We can help you here. What is going on with your Fios service?,mobile_phone_issue
customers have to be inconvenienced. We lost the some time ago and now the local channels. may now get me back,"Thank you for the feedback, please use our link to receive updates. https://t.co/wRDjTkPjOQ",tv_fios_content
@VerizonSupport It says the channel is not authorized.,Do you get Not subscribed or currently unavailable?,tv_fios_content
3 times I've tried to call and upgrade my service - each time someone said they'd call back and never did. Help? Thanks.,Wow! We can assist you here. Is this for a residential or wireless account?,mobile_phone_issue
"@VerizonSupport Hi. I sent the question to Verizon Support, re FIOS. Did they send it to you? My question has to do with cable, not wireless","We see the question now. Yes, we need it to do a credit check when establishing service.",tv_fios_content
@VerizonSupport I have lost 4 channels since signing my contract with verizon. The Accu Weather Channel is terrible. WBOC now gone.,"We are making channels to our lineup and will be adding more channels in the very, very near future.",equipment_router
"so @VerizonSupport my 86 yr old grandma had a problem with her home phone and got charged $110, tried to call cust serv but they only want $","What's the issue with the phone, did it require a technician to come out?",billing_charges
"@VerizonSupport no, phone started working without anyone having to come",Did they explain what the charges were for?,mobile_phone_issue
@VerizonSupport no it just says activities,Are you viewing this online? Can you post a pic so we can view it here.,installation_availability
"Dear : When you put out RFP for the next set-top box, pls omit the spec that it legally qualify as an instrument of torture. Thx","What issue are you having with the STBs that is making you feel this way? Let us know, we want to help.",equipment_router
"@VerizonSupport Locks up constantly, in different ways. Takes too long to load DVR menu. DVR scheduling takes forever. Delays responding to remote commands.",When did this start?,tv_fios_content
@VerizonSupport No luck so far. social media rep was nice but can't do anything - just having a sales rep contact me within 48 hours.,Our Agent will take good care of you.,equipment_router
@VerizonSupport Cannot log into https://t.co/28DyKmSRmu or mobile apps,"To clarify, are you having an issue with Fios or Wirless (mobile) service?",account_login
TV is a deceptive criminal enterprise. #ripoff,"Oh no, what is making you feel this way? Let us know, we are here to help.",tv_fios_content
"@VerizonSupport hey is there an outage in Germantown, MD?",Let's investigate! Are all Fios services down?,internet_wifi_issue
@VerizonSupport No internet access atm,What color are the lights on the router?,internet_wifi_issue
@VerizonSupport Red. I restarted it. The cable connections are fine,Thank you. Do you have access to your battery backup unit?,internet_wifi_issue
@VerizonSupport Yes,"On your battery back up press and hold the alarm silence button/Reset button for 30 seconds. Wait 5 minutes, reset the router.",billing_charges
@VerizonSupport Thanks. 🖖🖖,No problem. Thanks for reaching out to us.,complaint_escalation
@VerizonSupport been on the phone for an hour and 10 minutes paid my bill at 3pm this afternoon still no service = total incompetence #makesnosense,"Our apologies, were the services suspended prior to the payment being made, and was the required amount paid on the date due?",billing_charges
LIKE IT WOULD BE NICE IF I COULD GET MY HW DONE. THX VERIZON 🖕🏼,"Our apologies, do you happen to have Fios or DSL with us and is the intenet light red on the router after rebooting it?",complaint_escalation
@VerizonSupport y’all customer service is terrible. Never will I ever recommend this to anyone.,Oh no! What issue are you having? We'd like to help.,complaint_escalation
On Demand issue! The show (GoT) looks/sounds like a bad VHS/DVD. It's like that for every episode. Non-Thrones shows are fine,Let's work on your GoT issue! Have you already tried rebooting both your router and Set Top Box?,tv_fios_content
@VerizonSupport No need for that. I was on the phone with multiple representatives and that did not help not one bit. Comcast is the move.,We don't want to see you go and are here to assist. Let us know what is making you want to do this as we want to help.,mobile_phone_issue
FIOS! best service!,We're happy to hear that you are enjoying your Verizon experience.,complaint_escalation
In order to make my slow speed internet faster you want to charge me a one-time $150 upgrade fee?! FU! You should be embarrassed!,Oh no! Is this for your Verizon home service?,internet_wifi_issue
"Would you please get your act together! Three times tonight the box has ""updated"" and I lost the Yankee game. #FiosFail!",That certainly is odd for it to do it three times in one night! Please follow and DM us so we can discuss further.,equipment_router
So your fix is to have everyone uninstall and reinstall? How about you fix it?,That's not how we want you to feel. How may we assist?,installation_availability
@VerizonSupport Home,Let's investigate this! Please follow and DM us at your convenience.,equipment_router
"can't even stream Netflix now thanks to your changes! Went from loving this company to hating them. If you don't have Verizon, run. https://t.co/6O4J2t03z8",Oh no! Are you having an issue with Fios or Wireless (Mobile) service?,internet_wifi_issue
@VerizonSupport can you DM me about my account,"Sure, please follow and DM us at your convenience.",account_login
@VerizonSupport Your hotspot check your dms I've already heard from support it's just the run around since you started screwing customers who got unlimited,Thanks for the tweet! We'll refer this to our wireless colleagues since we handle Fios and DSL accounts.,complaint_escalation
I would say Verizon because the service might be worse than the wait.,Oh my! That's not how we want you to feel. It would be our pleasure to rectify any concerns you may have.,complaint_escalation
I keep getting an error message when I try to log in on the computer and the app,Oh no! Which app are you having trouble with?,account_login
@VerizonSupport I keep getting an error message when trying to log onto fios https://t.co/M14lzh3uKH,"Hi Alexis, Have you tried uninstalling and reinstalling the app?",equipment_router
"@verizonsupport Help! Test 10/3/2017, 11:12:46 PM Download Speed 0.59 Mbps 73.8 KB/sec Upload Speed 0.06 Mbps 7.5 KB/sec Latency 180 ms","Certainly, is the speed test being conducted via an Ethernet connected device?",internet_wifi_issue
@VerizonSupport Needle wires? You mean the quad shield RG-6 that worked perfectly with direct tv when I installed it? Yes! It's fine!,We do understand the frustration but the signal-to-noise ratio associated with direct TV may differ from the current services.,tv_fios_content
@VerizonSupport Yes and I’m getting the same error code,"Thank you. Have you tried uninstalling the app, rebooting your device, then re-installing the app?",billing_charges
"@VerizonSupport Router reset didn't work, but the box reset did. Thank you!",Awesome! Please let us know if we can help with any other issues. We're here 24/7 for you. Enjoy Westeros!,equipment_router
"@VerizonSupport Right, please go on... explain signal to noise ratio when every other channel works. I'll wait...",Channels are broadcast on different frequencies. Pixelation may be come from a degraded splitter or cabling.,tv_fios_content
"@VerizonSupport So when I was watching espn for the last few weeks and it was fine, my splitter was good.","We want to resolve this issue just as much as you. To confirm, were you able to perform the disconnect procedure previously mentioned?",equipment_router
"@VerizonSupport im not posting her bill on twitter, that is just dumb. I can send it to you",Please follow and DM for further assistance.,billing_charges
why the hell am I paying for HBO? When you want money for certain episodes of a series on HBO! I'm going to Comcast this is BS.,What show/episode are you trying to watch?,billing_charges
WTF why am I paying for HBO? When you want money for certain episodes of a series on HBO! I'm going to Comcast this is Bullshit,We do not control how they choose to provide their content. Have you attempted to use your Fios login on either their app or website?,billing_charges
the top box is not connecting to the Server but I have to get charged for a tech to come take a look?!?!?,Were you able to use the link to get to an agent so we may verify your info and run some tests to see what the issue might be?,billing_charges
@VerizonSupport you buy those channels for a price. Which I did. I gave you money to have all content. Well it's not there,"Oh no, it's not available with your Fios Credentials with either their app or website?",equipment_router
@VerizonSupport I didn't give my credentials,Have you tried logging into https://t.co/dTRjTlxWnO with your Verizon credentials to see if the episodes are there?,tv_fios_content
You guys literally have the worst internet Ive ever use dinmy entire fucking life,We do apologize for the inconvenience. Is this for your Verizon home services?,internet_wifi_issue
"@VerizonSupport Yes it is, and apparently it's supposed to be the gigabit connection","Certainly, please connect to the router via an Enternet cable and run a speed test and https://t.co/yMMRB4VWSM.",internet_wifi_issue
"Internet only, tv was unaffected but seems to have been temporary. All good now.","Awesome, thanks for the update! Please let us if it goes down again.",internet_wifi_issue
@VerizonSupport one or two free,Is that for the history channel or HBO?,tv_fios_content
"@VerizonSupport both, so I assume it's most of the channels I paid for.",Thank you. Please follow and DM us so we can collect your On Demand feedback.,tv_fios_content
"@VerizonSupport Is there problems with the Internet in the Boston,MA area? I have no Internet connection and only a red light on the modem",We haven't gotten any reports. Have you attempted to reboot the modem yet?,equipment_router
"@VerizonSupport Yes, I've tried rebooting a few times and it will blink white for a min or 2 then go back to red",Is the WAN light illuminated on the back of the router?,equipment_router
"@VerizonSupport I did, what doI do from here ?",Please post your test results wired and wireless using the link provided.,internet_wifi_issue
"@VerizonSupport Everytime I click sign in, I only get please wait and it keeps refreshing itself. I've signed in before on this phone and have had np",Is there anything plugged into the white square on the back of the router?,account_login
@VerizonSupport outage / maintenance in 07701? Have a link light but can't ping any public ips,There are some upgrades going on right now. Are all Fios services down in your area?,tv_fios_content
@VerizonSupport about 10 mins ago both mine and my friends internet went down. What is happening https://t.co/mHHd5U8Amq,"Good morning, What state are you located in?",internet_wifi_issue
@VerizonSupport New Jersey,"Thank you, it appears maintenance is currently being performed and is set to complete in a few hours if not sooner.",equipment_router
"@VerizonSupport There is, but the other end went to an old desktop I haven't used in years so I doubt it was doing anything",Disconnect the coax cable from the router and reconnect.,tv_fios_content
@VerizonSupport I only have internet so yes. Are there advanced notices provided anywhere?,"At this time, there is no announcement pertaining to scheduled maintenance.",internet_wifi_issue
@VerizonSupport Wish I knew about that before I worked on my paper. At least now I have an excuse as to why I couldn't finish it,We apologize for any inconvenience this has caused.,internet_wifi_issue
"I thought maybe North Korea was fuckin around with a nuke but no, Verizon outage",Oh no! Are all Fios services down?,internet_wifi_issue
@VerizonSupport Having advanced notices would be extremely helpful!,We do apologize for the inconvenience. Notification of scheduled maintenance is safeguarded for security.,installation_availability
"Hello @VerizonSupport I am located in NJ and my internet has gone down, all I see on the router is a red globe",Our apologies as we do have maintenance currently being performed and is expected to complete in several hours if not sooner.,equipment_router
"@VerizonSupport Done, then disconnected power for 10 seconds and plugged back in. After a min or 2 modem goes back to red light, still no internet.",Thank you. Do you have access to your battery backup unit?,equipment_router
@VerizonSupport Thank you,You're welcome TJ.,complaint_escalation
"@VerizonSupport The problem isnt the speed, its the consistency of it. theres always frequent lag and ping spikes and often says theres no int connection",Are you noticing the lag and ping spikes via a wireless connection?,internet_wifi_issue
@Ask_Spectrum Legit just made a twitter to ask this question lol can't even get a response from them new customer incoming,We'd love to have you! Please let us know if we can assist with switching.,complaint_escalation
@VerizonSupport I do,Our apologies as maintenance is currently being performed and is expected to complete in several hours if not sooner.,equipment_router
"@VerizonSupport Still have messaging and the like, no Wi-Fi though. I have an essay due tomorrow and need the Wi-Fi 😩😩","Hello, Let's check for outages in your area. Click the link below to get started. https://t.co/h5xFkgxJr8",internet_wifi_issue
@VerizonSupport why can’t I watch VOD. Keep getting error code VOD_268,Our apologies as we do have maintenance being performed in some areas. Do you have a red internet light on your router?,tv_fios_content
"@VerizonSupport Ok, thank you very much for the assistance and information, I appreciate it!",You are most welcome and thank your for your patience in the matter.,equipment_router
@VerizonSupport Please get Fibre Optic to all areas of PA as FAST as you can!,We're always expanding our Fios footprint. You can check for avail and status here. https://t.co/fWj4XeiXJz,installation_availability
@VerizonSupport Not available in my area.,Please continue to monitor the site for updates.,installation_availability
@VerizonSupport I get a message saying update in progress. Will be done in 15 mins. still not working Why am I even paying for this! Comcast had no issues.,Has the router been rebooted?,billing_charges
"NOOOO!!!! Damn it, didn't record.. I set it to record.. DAMN YOU Verizon","Oh no, does it still show as a scheduled series? Are there other shows that recorded at the same time?",complaint_escalation
@VerizonSupport I tried several times and even unplugged evenerhthing for 30 seconds.,Your area is currently working under a network upgrade maintenance window for a couple of hours.,equipment_router
"@VerizonSupport It is set as scheduled, not sure what happened. I am going to see next week if happens again.","Okay, Keep us posted.",internet_wifi_issue
@VerizonSupport Not sure why it didnt. Not the first time. But I work alot and that show is my relax time,We don't want you to miss any of your shows.,tv_fios_content
@VerizonSupport You should really warn your customers before hand and set a better expectation. My box says 15 mins... #fail,Disclosing when an area will be down would be a major security issue for some of our customers.,equipment_router
"@VerizonSupport Absolutely, thanks for checking in.. appreciate it",You're welcome.,installation_availability
@VerizonSupport https://t.co/7CT5aiFa1J please help Pittsburgh DSL,Our apologies as we do have maintenance currently being performed and is expected to complete in a few hours if not sooner.,billing_charges
"@VerizonSupport Thank you, would it be possible to send a text next time? :)",You are most welcome. Unfortunately they are not posted like outages.,complaint_escalation
@VerizonSupport Thank you.,You are most welcome.,complaint_escalation
"@VerizonSupport Ok, why is it selective to big events and perfect all day for sports center?",It shouldn't be selective. Temperature can also have an effect on it because the copper wire will expand and contract with temperatures,equipment_router
@VerizonSupport Fios,Are you getting an error when you try to log in?,installation_availability
I must say is the absolute worse with customer relations!! I can’t wait to get out of these shit contracts,We do't want you feeling that way. Was this for your cellular or residential service?,equipment_router
@VerizonSupport They both suck,We can help with any Fios troubles that you might be experiencing. What seems to be going on?,equipment_router
"Some1 fraudulently opened acct in my name. I call &amp; get no help. Acct is ""mine"" but u won't tell me when/where it was opened. #mad",Oh my! Let's get you the help that you are looking for. Is this for your cellular or residential service?,mobile_phone_issue
@VerizonSupport I NEED A SHIFT MANAGER NOW. YOU GUYS ARE TERRIBLE,"If we can get you to come into our chat link that we sent, we will be able to assist you there.",complaint_escalation
Shoutout to for messing up during my DVR recording of #thisisus. https://t.co/uAlshNYbs7,Oh no. We didn't want to mess up your DVR recording. Was it pixelating?,tv_fios_content
@VerizonSupport Yes and it was freezing. 😔,Does this occur on live TV?,billing_charges
@VerizonSupport I have an open case and I’m on the verge of getting an attorney to blow the whistle on the dirty unethical dealings,Let me partner you with our Verizon Wireless team . They should respond as quickly as possible.,internet_wifi_issue
"I’ve spent almost 1,200 on my phone bill alone in the past 6 month. I hate you bro.",What's going on with your bill? Is this for a cellular or residential account?,equipment_router
"@VerizonSupport Right, the more important the game or pay per view, the hotter the copper gets. Now I get it. So you take no responsibility for this issue?",We're not saying that at all. We want to help get this resolved for you. Is the issue currently happening?,tv_fios_content
@VerizonSupport you really want to know?,We want to help and to help we would need to know what the problem is.,complaint_escalation
@VerizonSupport Nope,We would need to check this when the tiling is occurring. Does this occur on any channels besides sporting events?,mobile_phone_issue
"@VerizonSupport Yes,I frequently restart both of my boxes and they’re fine for a few days,but then they start acting up again.",That's typically going to be caused by a bad coax connection. Can we get you to reseat the coax cable on the back of the box and test.,internet_wifi_issue
My current biggest challenge is my Verizon internet taking my company offline for the second time in two months. #verizonoutage,"Let's get that service back for you, Jon. Have you already reported this and received a ticket number?",internet_wifi_issue
@VerizonSupport My Verizon is unavailable? ETA when it will be back up? TIA,"Let's take a look at this with you, Courtney. Is this for your cellular or residential service?",account_login
@VerizonSupport cellular,We will let know you need help.,mobile_phone_issue
"@comcastcares If you have too much business and are unable to even respond to us, perhaps we should we switch to or ?","We'd love to have you, Farah.",plan_product_upgrade
"@VerizonSupport DVR will sometimes rewind 2 full min in 2 secs for some shows, making it tough to rewind 30 secs: https://t.co/aS31Bzn7Pt","That's odd. Can you press menu, then go to customer support, top support tools, and reboot stb.",tv_fios_content
your customer service literally yelled on me. He had no patience to discuss pricing when I am setting up new connection!!,"We can help you setup that new connection, Rahul. Just follow and DM us and we can help you with that order.",internet_wifi_issue
"@VerizonSupport Thank you, Verizon. Hope your service is available in our building. Dealing with @comcastcares has been a nightmare.",You can check for availability at this link. https://t.co/OfjBBax1hk,complaint_escalation
"@VerizonSupport Thanks for the quick reply. I'm not home right now, but will try this later this evening. I have the Arris VMS1100 DVR model.",Perfect. Just keep us updated. We're here for you if you need us :),tv_fios_content
I swear I'm gonna tweet every day over their inability to service people in their coverage area... Been waiting 3 months.no DSL...,Allow us to take a look Jessie! Please follow and DM so we can continue.,equipment_router
@VerizonSupport Thx. That link isn’t working. Do you mind resending?,We do apologize. Please try this link. https://t.co/9kjOSSkP6t,complaint_escalation
@VerizonSupport the power is out in Reston zip 20191,"If you power is out, your service will restore once the power comes back on.",equipment_router
@VerizonSupport I do not have a Verizon acct. A fraudulent Verizon Wireless acct was opened in my name &amp; just reported on my credit report.,We would want to get this to our team with so they can assist.,mobile_phone_issue
@VerizonSupport we did that about a week ago and it still does it. should i get new cables?,Can you please follow and DM us?,mobile_phone_issue
@VerizonSupport Looks like we might. Someone from my office will call you this afternoon. Thank you. Really appreciate your responsiveness!,You are most welcome! Reach out to us anytime!,mobile_phone_issue
So so disappointed that I switched from to . The Wi-Fi and router are so unreliable :( Huge disappointment.,Come on back :),equipment_router
Does Not Care About Its Customers https://t.co/svvliGlakj This is how they make you feel with their wireless service too.,We appreciate your feedback on this. You can get more information at this link. https://t.co/mrB5Ce2dgv,billing_charges
"@VerizonSupport problems with DSL since 7-31, having to reboot constantly Ran troubleshooter, “ more than one device is performing NAT.",That's frustrating. Please follow and DM us.,tv_fios_content
@VerizonSupport was fantastic this morning. Still on the call after 2 hours with no resolution other than a new router.,No need to allow frustrations to build over the phone. We can help you right now! How can we assist?,equipment_router
@VerizonSupport How? You just told the whole world mine was down now on Twitter what’s the difference,We do apologize for doing maintenance. Has your service been restored?,equipment_router
I've tried for a week to return my equipment to you. Can someone please email me a packaging slip?,You use this link to return equipment. https://t.co/i5E2ypZUVn,equipment_router
"Dear , it’s not me. It’s you. 30+ years w/you &amp; the lack of communication from you is appalling. There are other internet options",10 days is far too long Steph! Please follow and DM so we can continue.,internet_wifi_issue
GOD I HATE IM OVER IT,"We don't want you to feel that way, what is going on?",complaint_escalation
"We bought a new house and moved, hence losing our Fios. We miss you as we now have Please sign this news channel.",We miss you too! Did you request updated for Fios to come to you here? https://t.co/w5C5SJbR6F,tv_fios_content
"@VerizonSupport 3 days was too long. Nobody follows up. I am the one doing the follow ups, and getting nowhere","We want to help, please follow and DM us so we can.",tv_fios_content
@VerizonSupport Pretty much always been. Got tired of suffering in silence. I unplug the damned thing weekly in hopes a reset will forestall the worst of it,Can you please follow and DM us?,tv_fios_content
my l ethernet cable broke can I get a replacement cable.,Hey Jose. You can get an ethernet cable from your nearest electronics store.,tv_fios_content
@VerizonSupport Currently using Verizion Fios.,Let's figure this out. Can you run a speed test for us at https://t.co/yMMRB4VWSM,tv_fios_content
@VerizonSupport 2) When i signed up - i asked that FIOS give me the same level of options at a cheaper monthly cost.,"We can help with getting channels added, Warren. What channels are you looking to add?",equipment_router
@VerizonSupport can you please email me a pre-paid shipping label?,Can you please follow and DM us?,tv_fios_content
"@VerizonSupport I had to upgrade last night to get them - from basic to Premium - an add'l $40 per month. Spike, ESPN, CNBC, etc.",When did you first get service?,equipment_router
- your Customer Service reps need to be commended and rewarded. Called twice and two incredible experiences. Keep it up!,That is great to hear! We appreciate your feedback. We can always help here if you need anything as well. Enjoy your week!,mobile_phone_issue
@VerizonSupport why would they know?,"Hi Chris, you do not get the NHL Channel, here is some great info on this. https://t.co/yLB2wD7EIW",tv_fios_content
What are these random texts from tlog stuff.. I don’t want it.. @VerizonSupport,We can find out what those texts are. Were these in regards to your cellular or residential account?,equipment_router
@VerizonSupport May / June. I complained about this within a week and was told I needed to upgrade - so I didnt. Bit the bullet yesterday.,"We see. Well if you ever need anything more, we're always right here for you.",plan_product_upgrade
"Another fee from .. ""activation fee""? what's the point of being eligible for an upgrade if i still get hit with fees? #ridiculous 👎",Let me partner you with our Verizon Wireless team . They should respond as quickly as possible.,billing_charges
"Outage in Chesapeake, VA",Help is here. Use this link to search for outages and info in your area. https://t.co/3egnmCJjVb,internet_wifi_issue
can you help? Told Fios not in our area. Neighbor and I are connected from same pole. Please help! Need badly for business!! https://t.co/kVSSMKt0Ai,We can help with this. Please follow and DM us.,internet_wifi_issue
@VerizonSupport that’s not the question I asked.,What is your question?,complaint_escalation
My DVR legit goin explode on me if I schedule one more show... *heads to Verizon app to record today* 🤣😂,We do have the quantum boxes for even more storage!,tv_fios_content
@VerizonSupport https://t.co/CzTeHy8weh,Let me partner you with our Verizon Wireless team . They should respond as quickly as possible.,internet_wifi_issue
Why is it so hard to get a hold of a representative,We can help you get some help. What do you need to get a hold of someone concerning?,tv_fios_content
Hey how about upgrading me to gigabit internet for free.,We have gigabit! https://t.co/M83tRHrZaa,internet_wifi_issue
"just want to tell you the lady i had on the phone helping me was fantastic! didn't get her name written down, but wanted to share!",Awesome!!! Glad she was able to provide a positive experience.Havee a peachy day.,mobile_phone_issue
@VerizonSupport Having horrible problems with my Internet on my mobile device,Is this WiFi or Cellular DATA?,internet_wifi_issue
outage in ozone park ny??,That's odd. What's not working?,internet_wifi_issue
I’m not sure what is going on With service but get it together,What issue are you having with your service? We would like to help.,complaint_escalation
@VerizonSupport did you get hacked? TV isn't working and it tells me to call a number. Recorded message offers from Direct TV and AT&amp;T,Let's see what might be going on. Can you take a screen shot of what you see? Is it showing this on all channels?,tv_fios_content
"@VerizonSupport Seriously u people r so dishonest I need for Sup Venice, Ed and Rain to ALL keep their word Going on since March",This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist?,internet_wifi_issue
@VerizonSupport https://t.co/yAz0CpR4um,That's odd! Are you having this experience on all tvs?,internet_wifi_issue
Three weeks now with no home telephone service. Thanks for the upgrade.,"We are here to help, are all your services out or just the phone?",mobile_phone_issue
@VerizonSupport You owe me a $250 Verizon gift card for signing up for FIOS. One was sent but I didn’t get it. I need old one voided and new one sent.,"We can help with this, Zack. Can you please follow and DM us?",tv_fios_content
@VerizonSupport Did a hard reset and it is loading now,"OK, let us know.",internet_wifi_issue
"Makes perfect sense, maybe give this a read at some point https://t.co/wvjPS2noYX https://t.co/Gh2w1p7RM4",Hey Dave. There are some great deals that you might still qualify for. They can be found in your account when you're signed in.,internet_wifi_issue
@VerizonSupport you just sent out an annual notice but the link takes me to an empty page.,That's odd. Have your tried the link in a different web browser?,complaint_escalation
More than 50% of internet runs on chrome. If your logon page does not work well with Chrome password management it is a shit,Are you having an issue logging in? We would like to help.,internet_wifi_issue
@VerizonSupport Only in IE.,Thanks for the feedback.,tv_fios_content
just had me waiting 2weeks for a phone I ordered next day...great reception TRASH service https://t.co/PUqBYROtTS,Let me partner you with our Verizon Wireless team . They should respond as quickly as possible.,mobile_phone_issue
"So is still down. Latest restoration time estimate has been moved from 7AM today to 5AM tomorrow. If that time holds true, it'll have been about 40 hours without TV or internet. Oh and wireless data has only been working intermittently as well. Yay!",Oh no! Do you have the ticket number?,internet_wifi_issue
@VerizonSupport My damn 13 year old son could have answered my damn question!! Fios and your wireless people who work from you must not be educated,What happened? We are here to help.,mobile_phone_issue
@VerizonSupport is your service down for Internet in New York?,What's going on with your service?,internet_wifi_issue
you are the worst service switch backed to you for lower bill less than 24 hrs ago and I’m ready to go back to !,We would love to have you back!,billing_charges
@VerizonSupport up and running. Thanks.,Great!,mobile_phone_issue
