customer_message,support_response
"@115990-Holding &gt;50 min w/VZ ""support."" 5 days w/ no voice service for many.Issue @30467/395 S. End Ave. Pls reply.",@278394 God evening was that for your home or cell voice services? ^RMD
@115900 how do I stop getting weekly junk mail from you without making formal @136958 / MD A.G. complaint? Happy @115722.,@176073 We're happy to hear you're happy with us! Please let us know if you have any issues with your service. ^DDD
"Hey, @VerizonSupport, figured out what Error 7613 is in your crappy mobile app yet?

Hah. Of COURSE you haven't, you bunch of jackoffs.",@146623 Are you watching on your home wifi network right now? ^DDD
"@VerizonSupport yep, as always. ONLY Monday Night Football HAS EVER PRODUCED THIS ERROR AND IT HAS DONE IT FOR FOUR YEARS ON MOST DEVICES.","@146623 Are you trying to watch the game in the Fios Mobile app or the NFL Mobile app?
^HSB"
"@VerizonSupport YOUR mobile app. Don't try to blame somebody else, you guys own this piece of crap.",@146623 You can report problems with the app by going to dashboard&gt; Help&gt; report problem. ^FEM
I SO wanted to watch this one! Dang @115722 fix my @7147 😤 https://t.co/piks7nzcwL,"@172918 We will be happy to help. What seems to be the problem that you are having?
^TXA"
"@VerizonSupport do you have a 30 day wait to return complaints from a 13 year customer. Bad, very bad attitude of VERIZON. USE Other Carrier","@401177 Is this for your Verizon residential or Verizon wireless mobile?
^ADP"
@VerizonSupport We only have cable on 1 TV so #yes it's happening on all of our tvs 📺,@172918 What happens when you try to watch the channel? ^DDD
"@VerizonSupport Dear Sir/Madam ,i would like to contact the HR Department of Verizon Wireless for reference check on a former colleague pls😀","@304761 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns.
^TDC"
@115722 Not as far as I'm aware and the DVR box is a few years old,@201376 Is this happening on all shows you set up? ^RMD
@VerizonSupport Only started doing this on Tuesday,"@201376 Gotcha, is it no matter what you attempt to record or just specific shows? ^RMD"
@VerizonSupport It is whenever I select DVR on the pull down menu,@201376 Could you delete and reinstall the app if you are at home and let us know if this issue clears please. ^RMD
@VerizonSupport Help! My dvr takes several minutes to respond if I fast forward or rewind. See video. https://t.co/klfwkNjTSe,@202671 Does it do the same when using other remotes or the remote with the Fios mobile app? ^JRA
@VerizonSupport I’ve noticed it on other units in my house. I didn’t try to app.,"@202671 Do you have another remote that you can try?
^TXA"
When you forgot to set your DVR but it remembers to record #HTGAWM. Good looks @115722 https://t.co/csL5swRX1y,@177284 @177285 We try. If you ever do need support we will be here for you 24x7. ^JRA
@116136 So glad I switched off of your terrible service to FiOS. Best decision I've ever made. DO NOT BUY COMCAST.,"@215878 We are happy to have you with us. 
^TXA"
@VerizonSupport Done but still the same issue,@201376 Let's get that box to re-register with our network.  Can you reboot the router and the DVR for us by unplugging the power? ^BCW
@VerizonSupport Will have to do that later. Just left home for a meeting,"@201376 No problem. Keep us posted.
^JAY"
@VerizonSupport @215878 Wish you'd come to our condo,"@215876 We're always expanding our Fios footprint. You can check for avail and status here.  https://t.co/19cJ6VLKJ4 
^JAY"
"@VerizonSupport Same problem with different remote on this STB. On all other STBs, there is a 20s seat when accessing the main dvr.",@202671 Have you already had a chance to reboot that DVR box? ^RMD
@VerizonSupport Yep. Full power cycle.,"@202671 Try this on the TV, Go to Menu&gt; Customer Support&gt; Top Support Tools&gt; Fix Fios TV Issues. Then try again. Let us know if that helps.

^TNT"
@VerizonSupport It’s been stuck here for 5m. Is something supposed to happen? https://t.co/Cupy0mI2Wd,"@202671 Does it respond to any button on your remote?
^TNT"
Found out @115725 is charging $20 less a month for internet than I’m currently paying to them and they refuse to change my plan.,@172241 We'd like to assist. Please follow and DM us at your convenience. ^DDD
@VerizonSupport This seems silly when I already contacted support. You’d rather lose a customer than lower my price because “it’s only for new customers.”,"@172241 Hi Brandon, in order to get the new customer discount you would need to be a new customer. We have discounts for customers that renew.
^FEM"
"@115722 only support # on Verizon goes to VZ Wireless, can't select FiOS... 2- support hrs 7AM, it's 8AM &amp; auto-attendant hangs up?","@201136 We can help you here. What is going on with your Fios service?
^ADP"
@207389 @115722 customers have to be inconvenienced. We lost the @116429  some time ago and now the local channels. @115900  may now get me back,"@212913 Thank you for the feedback, please use our link to receive updates. https://t.co/wRDjTkPjOQ  ^CAR"
@VerizonSupport It says the channel is not authorized.,"@172918 Do you get Not subscribed or currently unavailable?
^FEM"
@115722 3 times I've tried to call and upgrade my service - each time someone said they'd call back and never did. Help? Thanks.,@177526 Wow!  We can assist you here.  Is this for a residential or wireless account?  ^CAR
"@115990 @VerizonSupport Hi. I sent the question to Verizon Support, re FIOS. Did they send it to you? My question has to do with cable, not wireless","@163690 We see the question now. Yes, we need it to do a credit check when establishing service. ^KMG"
@VerizonSupport I have lost 4 channels since signing my contract with verizon.  The Accu Weather Channel is terrible. WBOC now gone.,"@172654 We are making channels to our lineup and will be adding more channels in the very, very near future.
^JAY"
"so @VerizonSupport my 86 yr old grandma had a problem with her home phone and got charged $110, tried to call cust serv but they only want $","@172818 What's the issue with the phone, did it require a technician to come out?
^JAY"
"@VerizonSupport no, phone started working without anyone having to come","@172818 Did they explain what the charges were for?
^JAY"
@VerizonSupport no it just says activities,"@172818 Are you viewing this online? Can you post a pic so we can view it here.
^JAY"
"Dear @115722: When you put out RFP for the next set-top box, pls omit the spec that it legally qualify as an instrument of torture. Thx","@166673 What issue are you having with the STBs that is making you feel this way? Let us know, we want to help. ^JRA"
"@VerizonSupport Locks up constantly, in different ways. Takes too long to load DVR menu. DVR scheduling takes forever. Delays responding to remote commands.","@166673 When did this start?
^JAY"
@VerizonSupport No luck so far. @115725 social media rep was nice but can't do anything - just having a sales rep contact me within 48 hours.,"@177526 Our Agent will take good care of you.
^NHP"
"@VerizonSupport 
Cannot log into https://t.co/28DyKmSRmu or mobile apps","@163689 To clarify, are you having an issue with Fios or Wirless (mobile) service? ^DDD"
@115722 TV is a deceptive criminal enterprise. #ripoff,"@162433 Oh no, what is making you feel this way? Let us know, we are here to help. ^JRA"
"@VerizonSupport hey is there an outage in Germantown, MD?",@160171 Let's investigate! Are all Fios services down? ^DDD
@VerizonSupport No internet access atm,"@160171 What color are the lights on the router?
^JAY"
@VerizonSupport Red. I restarted it. The cable connections are fine,@160171 Thank you. Do you have access to your battery backup unit? ^DDD
@VerizonSupport Yes,"@160171 On your battery back up press and hold the alarm silence button/Reset button for 30 seconds. Wait 5 minutes, reset the router. ^NHP"
@VerizonSupport Thanks. 🖖🖖,"@160171 No problem. Thanks for reaching out to us.
^JAY"
@VerizonSupport been on the phone for an hour and 10 minutes paid my bill at 3pm this afternoon still no service = total incompetence #makesnosense,"@604010 Our apologies, were the services suspended prior to the payment being made, and was the required amount paid on the date due? ^JRA"
LIKE IT WOULD BE NICE IF I COULD GET MY HW DONE. THX VERIZON 🖕🏼,"@603959 Our apologies, do you happen to have Fios or DSL with us and is the intenet light red on the router after rebooting it? ^JRA"
@VerizonSupport y’all customer service is terrible. Never will I ever recommend this to anyone.,@160168 Oh no! What issue are you having? We'd like to help. ^DDD
@115722 On Demand issue! The show (GoT) looks/sounds like a bad VHS/DVD. It's like that for every episode. Non-Thrones shows are fine,@163477 Let's work on your GoT issue! Have you already tried rebooting both your router and Set Top Box? ^DDD
@VerizonSupport No need for that. I was on the phone with multiple representatives and that did not help not one bit. Comcast is the move.,@160168 We don't want to see you go and are here to assist. Let us know what is making you want to do this as we want to help. ^JRA
@160170 FIOS! best service!,"@160169 We're happy to hear that you are enjoying your Verizon experience. 
^BAB"
@115725 In order to make my slow speed internet faster you want to charge me a one-time $150 upgrade fee?! FU! You should be embarrassed!,"@160166 Oh no! Is this for your Verizon home service? 
^BAB"
"@115722 Would you please get your act together!
Three times tonight the box has ""updated"" and I lost the Yankee game. #FiosFail!",@160167 That certainly is odd for it to do it three times in one night! Please follow and DM us so we can discuss further. ^DDD
@115722 @160165 So your fix is to have everyone uninstall and  reinstall? How about you fix it?,"@160164 That's not how we want you to feel. How may we assist? 
^BAB"
@VerizonSupport Home,@160166 Let's investigate this! Please follow and DM us at your convenience. ^DDD
"@115725 can't even stream Netflix now thanks to your changes! Went from loving this company to hating them. If you don't have Verizon, run. https://t.co/6O4J2t03z8",@160163 Oh no! Are you having an issue with Fios or Wireless (Mobile) service? ^DDD
@VerizonSupport can you DM me about my account,"@160162 Sure, please follow and DM us at your convenience. ^DDD"
@VerizonSupport Your hotspot check your dms I've already heard from support  it's just the run around since you started screwing customers who got unlimited,@160163 Thanks for the tweet! We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. ^DDD
@160161 I would say Verizon because the service might be worse than the wait.,"@160160 Oh my! That's not how we want you to feel. It would be our pleasure to rectify any concerns you may have.
^BAB"
@115722 I keep getting an error message when I try to log in on the computer and the app,@160157 Oh no! Which app are you having trouble with? ^DDD
@VerizonSupport I keep getting an error message when trying to log onto fios https://t.co/M14lzh3uKH,"@160157 Hi Alexis, Have you tried uninstalling and reinstalling the app?
^NHP"
"@verizonsupport Help! Test 10/3/2017, 11:12:46 PM
Download Speed  0.59 Mbps 73.8 KB/sec
Upload Speed  0.06 Mbps 7.5 KB/sec
Latency  180 ms","@160159 Certainly, is the speed test being conducted via an Ethernet connected device?
^BAB"
@VerizonSupport Needle wires? You mean the quad shield RG-6 that worked perfectly with direct tv when I installed it? Yes! It's fine!,"@160158 We do understand the frustration but the signal-to-noise ratio associated with direct TV may differ from the current services.
^BAB"
@VerizonSupport Yes and I’m getting the same error code,"@160157 Thank you. Have you tried uninstalling the app, rebooting your device, then re-installing the app? ^DDD"
"@VerizonSupport Router reset didn't work, but the box reset did. Thank you!",@163477 Awesome! Please let us know if we can help with any other issues. We're here 24/7 for you. Enjoy Westeros! ^DDD
"@VerizonSupport Right, please go on... explain signal to noise ratio when every other channel works. I'll wait...","@160158 Channels are broadcast on different frequencies. Pixelation may be come from a degraded splitter or cabling. 
^BAB"
"@VerizonSupport So when I was watching espn for the last few weeks and it was fine, my splitter was good.","@160158 We want to resolve this issue just as much as you. To confirm, were you able to perform the disconnect procedure previously mentioned? ^DDD"
"@VerizonSupport im not posting her bill on twitter, that is just dumb. I can send it to you","@172818 Please follow and DM for further assistance. 
^BAB"
@115722 why the hell am I paying for HBO? When you want money for certain episodes of a series on HBO! I'm going to Comcast this is BS.,@163473 What show/episode are you trying to watch? ^DDD
@115722 WTF why am I paying for HBO? When you want money for certain episodes of a series on HBO! I'm going to Comcast this is Bullshit,@163473 We do not control how they choose to provide their content. Have you attempted to use your Fios login on either their app or website? ^JRA
@115722 the top box is not connecting to the Server but I have to get charged for a tech to come take a look?!?!?,@163474 Were you able to use the link to get to an agent so we may verify your info and run some tests to see what the issue might be? ^JRA
@VerizonSupport you buy those channels for a price. Which I did. I gave you money to have all content. Well it's not there,"@163473 Oh no, it's not available with your Fios Credentials with either their app or website? ^JRA"
@VerizonSupport I didn't give my credentials,"@163473 Have you tried logging into https://t.co/dTRjTlxWnO with your Verizon credentials to see if the episodes are there? 
^BAB"
@115725 You guys literally have the worst internet Ive ever use dinmy entire fucking life,"@163471 We do apologize for the inconvenience. Is this for your Verizon home services? 
^BAB"
"@VerizonSupport Yes it is, and apparently it's supposed to be the gigabit connection","@163471 Certainly, please connect to the router via an Enternet cable and run a speed test and https://t.co/yMMRB4VWSM. 
^BAB"
"@115722 Internet only, tv was unaffected but seems to have been temporary. All good now.","@163476 Awesome, thanks for the update! Please let us if it goes down again. ^DDD"
@VerizonSupport one or two free,"@163473 Is that for the history channel or HBO?
^JRA"
"@VerizonSupport both, so I assume it's most of the channels I paid for.",@163473 Thank you. Please follow and DM us so we can collect your On Demand feedback. ^DDD
"@VerizonSupport Is there problems with the Internet in the Boston,MA area? I have no Internet connection and only a red light on the modem",@163472 We haven't gotten any reports. Have you attempted to reboot the modem yet? ^JRA
"@VerizonSupport Yes, I've tried rebooting a few times and it will blink white for a min or 2 then go back to red","@163472 Is the WAN light illuminated on the back of the router? 
^BAB"
"@VerizonSupport I did, what doI do from here ?","@163471 Please post your test results wired and wireless using the link provided.
^NHP"
"@VerizonSupport Everytime I click sign in, I only get please wait and it keeps refreshing itself. I've signed in before on this phone and have had np","@163472 Is there anything plugged into the white square on the back of the router? 
^BAB"
@VerizonSupport outage / maintenance in 07701? Have a link light but can't ping any public ips,@163468 There are some upgrades going on right now. Are all Fios services down in your area? ^DDD
@VerizonSupport about 10 mins ago both mine and my friends internet went down. What is happening https://t.co/mHHd5U8Amq,"@163470 Good morning, What state are you located in?
^NHP"
@VerizonSupport New Jersey,"@163470 Thank you, it appears maintenance is currently being performed and is set to complete in a few hours if not sooner. ^JRA"
"@VerizonSupport There is, but the other end went to an old desktop I haven't used in years so I doubt it was doing anything","@163472 Disconnect the coax cable from the router and reconnect.
^NHP"
@VerizonSupport I only have internet so yes. Are there advanced notices provided anywhere?,"@163468 At this time, there is no announcement pertaining to scheduled maintenance. 
^BAB"
@VerizonSupport Wish I knew about that before I worked on my paper. At least now I have an excuse as to why I couldn't finish it,"@163470 We apologize for any inconvenience this has caused.
^NHP"
"I thought maybe North Korea was fuckin around with a nuke but no, Verizon outage @115725",@268884 Oh no! Are all Fios services down? ^DDD
@VerizonSupport Having advanced notices would be extremely helpful!,"@163468 We do apologize for the inconvenience. Notification of scheduled maintenance is safeguarded for security. 
^BAB"
"Hello @VerizonSupport I am located in NJ and my internet has gone down, all I see on the router is a red globe",@164311 Our apologies as we do have maintenance currently being performed and is expected to complete in several hours if not sooner.  ^JRA
"@VerizonSupport Done, then disconnected power for 10 seconds and plugged back in. After a min or 2 modem goes back to red light, still no internet.",@163472 Thank you. Do you have access to your battery backup unit? ^DDD
@VerizonSupport Thank you,"@164311 You're welcome TJ.
^NHP"
"@VerizonSupport The problem isnt the speed, its the consistency of it. theres always frequent lag and ping spikes and often says theres no int connection","@163471 Are you noticing the lag and ping spikes via a wireless connection? 
^BAB"
@Ask_Spectrum Legit just made a twitter to ask this question lol can't even get a response from them @115722 new customer incoming,@164310 We'd love to have you! Please let us know if we can assist with switching. ^DDD
@VerizonSupport I do,@163472 Our apologies as maintenance is currently being performed and is expected to complete in several hours if not sooner.  ^JRA
"@VerizonSupport Still have messaging and the like, no Wi-Fi though. I have an essay due tomorrow and need the Wi-Fi 😩😩","@268884 Hello, Let's check for outages in your area. Click the link below to get started. ^NHP
https://t.co/h5xFkgxJr8"
@VerizonSupport why can’t I watch VOD. Keep getting error code VOD_268,@160037 Our apologies as we do have maintenance being performed in some areas. Do you have a red internet light on your router? ^JRA
"@VerizonSupport Ok, thank you very much for the assistance and information, I appreciate it!",@163472 You are most welcome and thank your for your patience in the matter.  ^JRA
@VerizonSupport @158221 Please get Fibre Optic to all areas of PA as FAST as you can!,"@163475 We're always expanding our Fios footprint. You can check for avail and status here.  https://t.co/fWj4XeiXJz 
^BAB"
@VerizonSupport Not available in my area.,"@163475 Please continue to monitor the site for updates. 
^BAB"
@VerizonSupport I get a message saying update in progress. Will be done in 15 mins. still not working Why am I even paying for this! Comcast had no issues.,"@160037 Has the router been rebooted? 
^BAB"
"NOOOO!!!! Damn it, @164309 didn't record..   I set it to record.. DAMN YOU Verizon","@164308 Oh no, does it still show as a scheduled series? Are there other shows that recorded at the same time? ^JRA"
@VerizonSupport I tried several times and even unplugged evenerhthing for 30 seconds.,@160037 Your area is currently working under a network upgrade maintenance window for a couple of hours. ^NHP
"@VerizonSupport It is set as scheduled,  not sure what happened. I am going to see next week if happens again.","@164308 Okay, Keep us posted.
^NHP"
@VerizonSupport Not sure why it didnt. Not the first time. But I work alot and that show is my relax time,"@164308 We don't want you to miss any of your shows.
^NHP"
@VerizonSupport You should really warn your customers before hand and set a better expectation. My box says 15 mins... #fail,@160037 Disclosing when an area will be down would be a major security issue for some of our customers. ^NHP
"@VerizonSupport Absolutely,  thanks for checking in.. appreciate it","@164308 You're welcome.
^NHP"
@VerizonSupport https://t.co/7CT5aiFa1J please help Pittsburgh DSL,@164307 Our apologies as we do have maintenance currently being performed and is expected to complete in a few hours if not sooner. ^JRA
"@VerizonSupport Thank you, would it be possible to send a text next time? :)",@164307 You are most welcome. Unfortunately they are not posted like outages. ^JRA
@VerizonSupport Thank you.,@163690 You are most welcome. ^KMG
"@VerizonSupport Ok, why is it selective to big events and perfect all day for sports center?",@160158 It shouldn't be selective. Temperature can also have an effect on it because the copper wire will expand and contract with temperatures ^BCW
@VerizonSupport Fios,@163689 Are you getting an error when you try to log in? ^KMG
I must say @115725 is the absolute worse with customer relations!! I can’t wait to get out of these shit contracts,@163688 We do't want you feeling that way.  Was this for your cellular or residential service? ^BCW
@VerizonSupport They both suck,@163688 We can help with any Fios troubles that you might be experiencing.  What seems to be going on? ^BCW
"Some1 fraudulently opened acct in my name. I call @115725 &amp; get no help. Acct is ""mine"" but u won't tell me when/where it was opened. #mad",@160355 Oh my!  Let's get you the help that you are looking for.  Is this for your cellular or residential service? ^BCW
@VerizonSupport I NEED A SHIFT MANAGER NOW. YOU GUYS ARE TERRIBLE,"@163687 If we can get you to come into our chat link that we sent, we will be able to assist you there. ^BCW"
Shoutout to @115722 for messing up during my DVR recording of #thisisus. https://t.co/uAlshNYbs7,@160283 Oh no. We didn't want to mess up your DVR recording.  Was it pixelating? ^BCW
@VerizonSupport Yes and it was freezing. 😔,@160283 Does this occur on live TV?  ^CAR
@VerizonSupport I have an open case and I’m on the verge of getting an attorney to blow the whistle on the dirty unethical dealings,@163686 Let me partner you with our Verizon Wireless team @115990.  They should respond as quickly as possible.  ^CAR
"I’ve spent almost 1,200 on my phone bill alone in the past 6 month. @115725 I hate you bro.",@163685 What's going on with your bill? Is this for a cellular or residential account?  ^CAR
"@VerizonSupport Right, the more important the game or pay per view, the hotter the copper gets. Now I get it. So you take no responsibility for this issue?","@160158 We're not saying that at all.  We want to help get this resolved for you. Is the issue currently happening? 
^BCW"
@VerizonSupport you really want to know?,@162433 We want to help and to help we would need to know what the problem is. ^KMG
@VerizonSupport Nope,@160158 We would need to check this when the tiling is occurring.  Does this occur on any channels besides sporting events? ^CAR
"@VerizonSupport Yes,I frequently restart both of my boxes and they’re fine for a few days,but then they start acting up again.",@160283 That's typically going to be caused by a bad coax connection.  Can we get you to reseat the coax cable on the back of the box and test. ^BCW
@163683 My current biggest challenge is my Verizon internet taking my company offline for the second time in two months. #verizonoutage,"@163682 Let's get that service back for you, Jon.  Have you already reported this and received a ticket number? ^BCW"
@VerizonSupport My Verizon is unavailable?  ETA when it will be back up?  TIA,"@163684 Let's take a look at this with you, Courtney.  Is this for your cellular or residential service? ^BCW"
@VerizonSupport cellular,@163684 We will let @115990 know you need help. ^KMG
"@comcastcares If you have too much business and are unable to even respond to us, perhaps we should we switch to @115722 or @160143?","@160142 We'd love to have you, Farah. ^BCW"
"@VerizonSupport DVR will sometimes rewind 2 full min in 2 secs for some shows, making it tough to rewind 30 secs:  https://t.co/aS31Bzn7Pt","@160482 That's odd.  Can you press menu, then go to customer support, top support tools, and reboot stb. ^CAR"
@115722 your customer service literally yelled on me. He had no patience to discuss pricing when I am setting up new connection!!,"@163681 We can help you setup that new connection, Rahul.  Just follow and DM us and we can help you with that order. ^BCW"
"@VerizonSupport Thank you, Verizon. Hope your service is available in our building. Dealing with @127249 @comcastcares has been a nightmare.",@160142 You can check for availability at this link.  https://t.co/OfjBBax1hk ^BCW
"@VerizonSupport Thanks for the quick reply.  I'm not home right now, but will try this later this evening.  I have the Arris VMS1100 DVR model.",@160482 Perfect.  Just keep us updated.   We're here for you if you need us :) ^BCW
I swear I'm gonna tweet @115725 every day over their inability to service people in their coverage area... Been waiting 3 months.no DSL...,@166670 Allow us to take a look Jessie! Please follow and DM so we can continue. ^DDG
@VerizonSupport Thx. That link isn’t working. Do you mind resending?,@160142 We do apologize.  Please try this link. https://t.co/9kjOSSkP6t  ^CAR
@VerizonSupport the power is out in Reston zip 20191,"@160356 If you power is out, your service will restore once the power comes back on.  ^CAR"
@VerizonSupport I do not have a Verizon acct. A fraudulent Verizon Wireless acct was opened in my name &amp; just reported on my credit report.,@160355 We would want to get this to our team with @115990 so they can assist. ^BCW
@VerizonSupport we did that about a week ago and it still does it. should i get new cables?,@160283 Can you please follow and DM us?  ^CAR
@VerizonSupport Looks like we might. Someone from my office will call you this afternoon. Thank you. Really appreciate your responsiveness!,@160142 You are most welcome! Reach out to us anytime! ^KMG
So so disappointed that I switched from @115722 to @115955. The Wi-Fi and router are so unreliable :( Huge disappointment.,@265060 Come on back :) ^BCW
"@115725 Does Not Care About Its Customers

https://t.co/svvliGlakj

This is how they make you feel with their wireless service too.",@160112 We appreciate your feedback on this.  You can get more information at this link.  https://t.co/mrB5Ce2dgv ^BCW
"@VerizonSupport problems with DSL since 7-31, having to reboot constantly Ran troubleshooter, “ more than one device is performing NAT.",@265002 That's frustrating.  Please follow and DM us.  ^CAR
@VerizonSupport was fantastic this morning. Still on the call after 2 hours with no resolution other than a new router.,@159875 No need to allow frustrations to build over the phone. We can help you right now! How can we assist? ^DDG
@VerizonSupport How? You just told the whole world mine was down now on Twitter what’s the difference,@160037 We do apologize for doing maintenance.  Has your service been restored? ^CAR
@115722 I've tried for a week to return my equipment to you. Can someone please email me a packaging slip?,@160109 You use this link to return equipment. https://t.co/i5E2ypZUVn  ^CAR
"Dear @115725, it’s not me.  It’s you. 30+ years w/you &amp; the lack of communication from you is appalling.  There are other internet options",@159265 10 days is far too long Steph! Please follow and DM so we can continue. ^DDG
GOD I HATE @115722 IM OVER IT,"@159736 We don't want you to feel that way, what is going on? 
^ACM"
"@121151 We bought a new house and moved, hence losing our Fios.  We miss you as we now have @247 Please sign this news channel.",@264588 We miss you too!  Did you request updated for Fios to come to you here? https://t.co/w5C5SJbR6F ^ACM
"@VerizonSupport 3 days was too long. Nobody follows up. I am the one doing the follow ups, and getting nowhere","@159265 We want to help, please follow and DM us so we can.
^ACM"
@VerizonSupport Pretty much always been. Got tired of suffering in silence. I unplug the damned thing weekly in hopes a reset will forestall the worst of it,@166673 Can you please follow and DM us?  ^CAR
@115725 my l ethernet cable broke can I get a replacement cable.,@166672 Hey Jose.  You can get an ethernet cable from your nearest electronics store. ^BCW
@VerizonSupport Currently using Verizion Fios.,"@166671 Let's figure this out.  Can you run a speed test for us at https://t.co/yMMRB4VWSM
^ACM"
@VerizonSupport 2) When i signed up - i asked that FIOS give me the same level of options at a cheaper monthly cost.,"@162433 We can help with getting channels added, Warren.  What channels are you looking to add? ^BCW"
@VerizonSupport can you please email me a pre-paid shipping label?,@160109 Can you please follow and DM us?  ^CAR
"@VerizonSupport I had to upgrade last night to get them - from basic to Premium - an add'l $40 per month.  Spike, ESPN, CNBC, etc.","@162433 When did you first get service?
^ACM"
@115725 - your Customer Service reps need to be commended and rewarded. Called twice and two incredible experiences. Keep it up!,@605017 That is great to hear!  We appreciate your feedback.  We can always help here if you need anything as well.  Enjoy your week! ^BCW
@162285 @VerizonSupport why would they know?,"@162284 Hi Chris, you do not get the NHL Channel, here is some great info on this. https://t.co/yLB2wD7EIW
^ACM"
What are these random texts from @115725 tlog stuff.. I don’t want it.. @VerizonSupport,@167729 We can find out what those texts are.  Were these in regards to your cellular or residential account? ^BCW
@VerizonSupport May / June. I complained about this within a week and was told I needed to upgrade - so I didnt.  Bit the bullet yesterday.,"@162433 We see.  Well if you ever need anything more, we're always right here for you. ^BCW"
"Another fee from @115725 .. ""activation fee""? what's the point of being eligible for an upgrade if i still get hit with fees? #ridiculous 👎","@266918 Let me partner you with our Verizon Wireless team @115990.  They should respond as quickly as possible.  
^CAR"
"@115722 Outage in Chesapeake, VA","@162374 Help is here. Use this link to search for outages and info in your area. ^DDG
https://t.co/3egnmCJjVb"
@115722 can you help? Told Fios not in our area. Neighbor and I are connected from same pole. Please help! Need badly for business!! https://t.co/kVSSMKt0Ai,@167730 We can help with this.  Please follow and DM us. ^BCW
@VerizonSupport that’s not the question I asked.,@162284 What is your question?  ^CAR
"My DVR legit goin explode on me if I schedule one more show...

*heads to Verizon app to record @118967 today* 🤣😂","@167697 We do have the quantum boxes for even more storage! 
^ACM"
@VerizonSupport  https://t.co/CzTeHy8weh,@167729 Let me partner you with our Verizon Wireless team @115990.  They should respond as quickly as possible.  ^CAR
Why is it so hard to get a hold of a representative @115725,@167725 We can help you get some help. What do you need to get a hold of someone concerning? ^KMG
@167728 @115725 Hey @115900 how about upgrading me to gigabit internet for free.,@167727 We have gigabit! https://t.co/M83tRHrZaa ^ACM
"@115725 just want to tell you the lady i had on the phone helping me was fantastic! didn't get her name written down, but wanted to share!",@167726 Awesome!!! Glad she was able to provide a positive experience.Havee a peachy day.  ^CAR
@VerizonSupport Having horrible problems with my Internet on my mobile device,"@167725 Is this WiFi or Cellular DATA?
^ACM"
@115722 outage in ozone park ny??,@167724 That's odd.  What's not working?  ^CAR
@115725 I’m not sure what is going on With service but get it together,@167695 What issue are you having with your service? We would like to help. ^KMG
@VerizonSupport did you get hacked? TV isn't working and it tells me to call a number. Recorded message offers from Direct TV and AT&amp;T,@167717 Let's see what might be going on.  Can you take a screen shot of what you see?  Is it showing this on all channels? ^BCW
"@VerizonSupport @115725 Seriously u people r so dishonest I need for Sup Venice, Ed and Rain to ALL keep their word Going on since March",@163680 This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist? ^DDG
@VerizonSupport https://t.co/yAz0CpR4um,@167717 That's odd! Are you having this experience on all tvs? ^DDG
@115725 Three weeks now with no home telephone service. Thanks for the upgrade.,"@167722 We are here to help, are all your services out or just the phone?
^ACM"
